index,road,model_type,name,lat,lon,length,condition,start_km,end_km,id
60,N1,source,Km post missing,23.670916,90.5597778,39.00000000000148,,14.524,14.563,1000060
61,N1,link,Box culvert,23.6705827,90.5599722,899.2249999999995,,14.563,15.462225,1000061
62,N1,bridge,MALIBAG BOX CULVERT,23.6633090696149,90.563856994797,5.55,B,15.462225,15.467775,1000062
63,N1,link,Box culvert,23.6705827,90.5599722,56.224999999999525,,15.467775,15.524,1000063
64,N1,link,Km post missing,23.6628333,90.5641111,411.00000000000136,,15.524,15.935,1000064
65,N1,link,Road to MinanbariZ1061),23.6604167,90.5671104,307.0000000000004,,15.935,16.242,1000065
66,N1,link,Langalbandhu bridge,23.6591111,90.5697216,160.00000000000014,,16.242,16.402,1000066
67,N1,link,Bridge end,23.6583056,90.5709993,121.99999999999989,,16.402,16.524,1000067
68,N1,link,Km post missing,23.6575,90.5719716,306.99999999999864,,16.524,16.831,1000068
69,N1,link,Bridge start,23.6559722,90.5743327,21.0000000000008,,16.831,16.852,1000069
70,N1,link,Bridge end,23.6559167,90.5745271,202.23999999999972,,16.852,17.05424,1000070
71,N1,bridge,Langalbandh Bridge.,23.6544257051136,90.576730225,159.52,C,17.05424,17.21376,1000071
72,N1,bridge,LANGOLBANDO PC GIDER BRIDGE,23.6544257051136,90.576730225,159.5,B,17.05425,17.21375,1000072
73,N1,bridge,Darikandi Bridge (L),23.65397226,90.57741042,20.5,A,17.211750000000002,17.23225,1000073
74,N1,bridge,Darikandi Bridge (R),23.65397226,90.57741042,20.45,A,17.211775000000003,17.232225,1000074
75,N1,link,Bridge start,23.6540556,90.5772771,1.7500000000012506,,17.23225,17.234,1000075
76,N1,link,Bridge end,23.6539167,90.5774993,289.99999999999915,,17.234,17.524,1000076
77,N1,link,Km post missing,23.6525278,90.5798882,187.99999999999883,,17.524,17.712,1000077
78,N1,bridge,DARIKANDI BRIDGE (R),23.6515705663716,90.5814943946902,20.0,B,17.712,17.732000000000003,1000078
79,N1,bridge,DARIKANDI BRIDGE (L),23.6515705663716,90.5814943946902,20.0,B,17.712,17.732000000000003,1000079
80,N1,link,Km post missing,23.6525278,90.5798882,130.99999999999667,,17.732000000000003,17.863,1000080
81,N1,sink,Bridge start,23.6508889,90.5826382,41.00000000000037,,17.863,17.904,1000081
